tsn_6116_1086442774|This time he did not yap for mercy.
tsn_1932_7476477449|A gonale motshameko o tshamekiwang?
tsn_3342_9047846326|Markgraaff o ne a boela mo tsamaisong ya rugby.
tsn_6206_0447670359|White Leghorns, said Mrs Mortimer.
tsn_4850_8582488556|Go akaretsa mofuta wa puo ya Sejeremane.
tsn_4850_0027596674|Fela, ga ke isi ke apeele ntšwa dijo, ga araba Nozibele.
tsn_1932_0186993854|Orlando Pirates e tshamekile maleka le Bournemouth.
tsn_7674_5204669066|You live on an income which your father earned.
tsn_3629_1948230589|Once the jews harp began emitting its barbaric rhythms, Michael was helpless.
tsn_8532_9891399860|Ba bosa ba bonela pele semathana mo porofenseng ya Mpumalanga.
tsn_0378_2300372369|Ka di 6 Moranang 2009, batšhotšhisi ba ne ba swetsa go phimola ditatofatso.
tsn_4850_2207190188|A ba tla tlhophiwa gape mo ditlhophong?
tsn_2839_0621051701|He turned sharply, and faced Gregson across the table.
tsn_0045_9286986317|Watford e lekantse dintlha le Sunderland.
tsn_7896_8409686892|Ke digerata di le 19 le maru fale le fale kwa Johannesburg
tsn_5628_2011836909|A goeletsa, O ntšhebile eng mosimane?
tsn_6206_0441615489|Philip made no effort to follow.
tsn_3629_8464045348|Broken-Tooth yelled with fright and pain.
tsn_5628_1295588806|Newcastle United e tshamikile maleka le Manchester United.
tsn_6206_8420765956|zero ninety-six zero
tsn_4850_5068443468|Fa ke gola ke batla go nna fela jaaka Morutabana Akinyi.
tsn_3342_8979947627|Ka letsatsi lengwe keletso ya gagwe e ne ya oketsega.
tsn_1498_0123172729|Bana ba ne ba epa mo mošaweng le go tshamekela mo makhubung.
tsn_3342_5677329495|O re bolokile, Kamuzu, ga rialo Baas.
tsn_9061_1974699521|The weeks had gone by, and no overt acts had been attempted.
tsn_7896_9414512761|Louw o tlogetse botshelo ba dipolotiki ka 1994.
tsn_0045_8863263477|Ya tloga, ya tabogela kwa motsaneng go ya go batla Nozibele.
tsn_3342_4441125942|Dirisepe di le 700 tsa buka ya motheo le melawana ya motheo ya go apaya.
tsn_4850_8269239098|Go thuntshiwa ga sefofane go diragetse ka Ngwanatsele 25, 1985 kwa Angola.
tsn_9061_5934924442|Why, doggone you all, shake again.
tsn_7674_0288722502|Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria.
tsn_1932_8443768888|Plaatje e ne e le leloko la motheo.
tsn_3342_0546619080|Se lebile mošate wa Mozambique, Maputo.
tsn_4506_8067312016|A goeletsa, O ntšhebile eng mosimane?
tsn_8532_9441913835|Ka 4 Phatwe 1991 ka nako e ditsuatsue di bakileng go dutla mo enjeneng.
tsn_1483_9947814871|God bless 'em, I hope I'll go on seeing them forever.
tsn_8914_0663994989|Ka 4 Phatwe 1991 ka nako e ditsuatsue di bakileng go dutla mo enjeneng.
tsn_1932_4688739795|Goreng matlho a gago a hibitse jaana?
tsn_1932_4354486596|Kamoso ke Latshipi, mme jaanong re tlile go lalela ka khabetšhe fela.
tsn_3342_1499604303|Ke maitsholo afe a o sa a ratang go gaisa?
tsn_6206_1381623960|Don't you see I hate you.
tsn_9061_6665821671|We are both children together.
tsn_6234_1009384195|Ke mang yo e neng e le motsamaisi wa Porofense ya Kwazulu-Natal?
tsn_7674_9952147019|It was the same way with our revolvers and rifles.
tsn_9365_7737578359|Ke mang yo e leng khutsana?
tsn_6116_3911211799|eight seven eight
